_id,category,title,tutor,duration,description,image,video,tutorId,createdAt,updatedAt,__v
67996e73f885b0ec636e8829,Engineering,Civil Engineering Basic,Dr. John Smith,4,"Learn about structural design, construction materials, and engineering principles.",image-1738108531295.png,video-1738108531382.mp4,679926b24b83dafe04668b9a,2025-01-28 23:55:31.416,2025-01-28 23:55:31.416,0
67996ed3f885b0ec636e882c,Engineering,Electrical Circuits 101,Prof. Jane Wilson,5,"Understand basic electrical circuit components, voltage, and current flow.",image-1738108627803.jpg,video-1738108627875.mp4,679926b24b83dafe04668b9a,2025-01-28 23:57:07.907,2025-01-28 23:57:07.907,0
67996f0bf885b0ec636e882e,Engineering,Introduction to Mechanical Engineering,Dr. Alan White,4,"Covers fundamental concepts like thermodynamics, kinematics, and fluid mechanics.",image-1738108683114.jpg,video-1738108683522.mp4,679926b24b83dafe04668b9a,2025-01-28 23:58:03.550,2025-01-28 23:58:03.550,0
67996f52f885b0ec636e8831,Engineering,Structural Analysis,Dr. Brian Adams,5,Learn how to analyze different types of structural systems.,image-1738108754556.png,video-1738108754556.mp4,679926b24b83dafe04668b9a,2025-01-28 23:59:14.659,2025-01-28 23:59:14.659,0
67996fa1f885b0ec636e8833,Engineering,Aerospace Engineering Fundamentals,Dr. Henry Clarke,7,"Understand aerodynamics, propulsion, and flight mechanics.",image-1738108833646.png,video-1738108833654.mp4,679926b24b83dafe04668b9a,2025-01-29 00:00:33.977,2025-01-29 00:00:33.977,0
67997042f885b0ec636e8837,Engineering,Automotive Engineering Basics,Prof. Tom Harris,4,"Introduction to engine design, vehicle dynamics, and aerodynamics.",image-1738108994218.png,video-1738108994218.mp4,679926b24b83dafe04668b9a,2025-01-29 00:03:14.238,2025-01-29 00:03:14.238,0
679970c3f885b0ec636e8843,Engineering,Sustainable Engineering Practices,Dr. Karen Smith,2,Learn eco-friendly and sustainable approaches to engineering.,image-1738109123256.png,video-1738109123274.mp4,679926b24b83dafe04668b9a,2025-01-29 00:05:23.282,2025-01-29 00:05:23.282,0
67997107f885b0ec636e8845,Engineering,Hydraulics and Fluid Mechanics,Dr. Edward Peterson,2,"Understand fluid dynamics, pressure, and flow rates.",image-1738109190996.png,video-1738109190998.mp4,679926b24b83dafe04668b9a,2025-01-29 00:06:31.024,2025-01-29 00:06:31.024,0
6799715cf885b0ec636e8849,Engineering,Railway Engineering,Dr. Mark Taylor,3,"Covers railway infrastructure, track design, and safety measures.",image-1738109276884.png,video-1738109276903.mp4,679926b24b83dafe04668b9a,2025-01-29 00:07:56.914,2025-01-29 00:07:56.914,0
6799719ff885b0ec636e884c,Engineering,CAD for Engineers,Prof. Michelle Carter,6,Learn how to use CAD software for engineering designs.,image-1738109343349.jpg,video-1738109343364.mp4,679926b24b83dafe04668b9a,2025-01-29 00:09:03.377,2025-01-29 00:09:03.377,0
